ACT ID,Title TH,Title EN,Agoda ID
1,พนักงานพูดได้หลายภาษา,Multilingual staff,
2,บริการอินเทอร์เน็ตไร้สาย (Wi-Fi) ฟรีในทุกห้องพัก,Free Wi-Fi in all rooms,109
3,Wi-Fi,Wi-Fi,31
4,Wi-Fi ในพื้นที่สาธารณะ,Wi-Fi in public areas,79
5,Wi-Fi พร้อมค่าบริการเพิ่มเติม,Wi-Fi with additional charge,76
5,Wi-Fi พร้อมค่าบริการเพิ่มเติม,Wi-Fi with additional charge,360
6,อินเทอร์เน็ตแบบมีสาย,Wired internet,32
6,อินเทอร์เน็ตแบบมีสาย,Wired internet,359
7,อาหารเช้า,Breakfast,409
8,อาหารเช้าแบบบุฟเฟ่ต์,Breakfast buffet,352
9,อาหารเช้าแบบยุโรป,Continental breakfast,353
10,ห้องอาหารเช้า,Breakfast room,
11,ร้านอาหารฮาลาล,Halal restaurant,282
12,ร้านอาหารโคเชอร์ (มาตรฐานยิว),Kosher restaurant,283
13,ร้านอาหาร,Restaurant,11
14,บาร์,Bar,7
15,สิ่งอำนวยความสะดวกสำหรับทำ BBQ,BBQ facilities,122
16,คาเฟ่,Café,
17,ร้านกาแฟ,Coffee shop,6
18,ปิ้งย่าง / บาร์บีคิว,Grill / BBQ,122
19,ไนท์คลับ,Nightclub,10
20,บาร์ริมสระว่ายน้ำ,Poolside bar,67
21,บาร์ขนมขบเคี้ยวริมสระน้ำ,Poolside snack bar,
22,ผับ,Pub,
23,บาร์ในสระว่ายน้ำ,Swim-up bar,
24,ศูนย์ออกกำลังกายตลอด 24 ชั่วโมง,24-hour fitness center,
25,ฟิตเนส,Fitness,57
25,ฟิตเนส,Fitness,92
25,ฟิตเนส,Fitness,366
25,ฟิตเนส,Fitness,403
26,ห้องเล่นเกม,Game room,106
27,โต๊ะเล่นกอล์ฟ,Golf desk,
28,อ่างน้ำร้อน,Hot tub,402
28,อ่างน้ำร้อน,Hot tub,54
29,สระน้ำจืดในร่ม,Indoor freshwater pool,
30,สระน้ำอุ่นในร่ม,Indoor heated pool,
31,สระน้ำเกลือในร่ม,Indoor saltwater pool,
32,สระน้ำจืดกลางแจ้ง,Outdoor freshwater pool,
33,สระว่ายน้ำอุ่นกลางแจ้ง,Outdoor heated pool,
34,สระน้ำเกลือกลางแจ้ง,Outdoor saltwater pool,
35,สระว่ายน้ำ,Swimming pool,93
36,นวด,Massage,51
37,ซาวน่า,Sauna,58
38,สปา,Spa,61
39,ห้องอบไอน้ำ,Steam bath,
40,สไลเดอร์,Water slides,
41,พื้นที่ชายหาดส่วนตัว,Private beach area,66
42,สระว่ายน้ำส่วนตัว,Private pool,50
43,ชายหาด,Beach,287
44,บ่อนคาสิโน,Casino,3
45,คาราโอเกะ,Karaoke,136
46,ศูนย์ฟิตเนสพร้อมค่าบริการเพิ่มเติม,Fitness center with additional charge,368
47,ร้านจักรยานของโรงแรม,Hotel’s own bike shop / workshop,
48,ร้านจักรยานของข้างนอก,Partner’s bike shop / workshop,
49,โปรแกรมความบันเทิงสำหรับผู้ใหญ่,Entertainment programme for adults,
50,ที่เก็บสกี,Ski storage,
51,ประตูสู่ลานสกี,Ski to door access,
52,ห้องอบไอน้ำ,Steamroom,59
53,สวนสนุก,Theme park,264
54,อ่างอาบน้ำแบบตุรกี,Turkish bath (Hamam),
55,สวนน้ำ,Water park,265
56,ห้องโยคะ,Yoga room,268
57,อ่างน้ำพุร้อน,Hot spring bath,104
58,แอโรบิค,Aerobics,
59,แอโรบิคในน้ำ,Aqua fit,
60,ยิงธนู,Archery,
61,แบดมินตัน,Badminton,255
